min,CH1,CH2,CH40,CH41,CH42,
54.0616,6.92192,0.0335693,6.8829,27.2727,139381,
54.0617,6.91526,0.0366211,6.88432,27.2727,142184,
54.0617,6.90668,0.0335693,6.88574,27.2727,141602,
54.0617,6.89716,0.0335693,6.88711,27.2727,137386,
54.0618,6.88763,0.0335693,6.88841,27.2727,129499,
54.0618,6.87715,0.0335693,6.88959,27.2727,118104,
54.0618,6.86763,0.0305176,6.89062,27.2727,103452,
54.0619,6.85905,0.0274658,6.89148,27.2727,86055.8,
54.0619,6.85143,0.0366211,6.89215,27.2727,66574.2,
54.0619,6.84572,0.0335693,6.89261,27.2727,45708.1,
54.062,6.84,0.0335693,6.89285,27.2727,24104,
54.062,6.83715,0.0274658,6.89287,27.2727,2356.24,
54.062,6.83524,0.0335693,6.89268,27.2727,-18810.9,
54.0621,6.83524,0.0335693,6.89229,27.2727,-38736.9,
54.0621,6.83715,0.0457764,6.89173,27.2727,-56822.1,
54.0621,6.84,0.0335693,6.891,27.2727,-72524.7,
54.0622,6.84477,0.0366211,6.89015,27.2727,-85448.2,
54.0622,6.85048,0.0274658,6.88919,27.2727,-95240.1,
54.0622,6.85715,0.0335693,6.88818,27.2727,-101680,
54.0623,6.86382,0.0244141,6.88713,27.2727,-104758,
54.0623,6.87144,0.0396729,6.88608,27.2727,-104569,
54.0623,6.87906,0.0396729,6.88507,27.2727,-101211,
54.0624,6.88668,0.0274658,6.88412,27.2727,-94876.9,
54.0624,6.89335,0.0305176,6.88326,27.2727,-85933.2,
54.0624,6.90001,0.0366211,6.88252,27.2727,-74815.7,
54.0625,6.90573,0.0274658,6.8819,27.2727,-61931.3,
54.0625,6.91049,0.0274658,6.88142,27.2727,-47748.8,
54.0625,6.9143,0.0335693,6.88109,27.2727,-32792.1,
54.0626,6.91621,0.0335693,6.88092,27.2727,-17633.6,
54.0626,6.91716,0.0396729,6.88089,27.2727,-2887.67,
54.0626,6.91716,0.0274658,6.881,27.2727,10975.2,
54.0627,6.91526,0.0274658,6.88123,27.2727,23527.8,
54.0627,6.9124,0.0244141,6.88157,27.2727,34294.2,
54.0627,6.90859,0.0366211,6.882,27.2727,42935.5,
54.0628,6.90383,0.0335693,6.8825,27.2727,49240.1,
54.0628,6.89811,0.0396729,6.88303,27.2727,53022.7,
54.0628,6.89239,0.0305176,6.88357,27.2727,54213.5,
54.0629,6.88573,0.0366211,6.8841,27.2727,52848.6,
54.0629,6.87906,0.0274658,6.88459,27.2727,48970.4,
54.0629,6.87334,0.0366211,6.88501,27.2727,42807.4,
54.063,6.86668,0.0305176,6.88536,27.2727,34666.9,
54.063,6.86096,0.0274658,6.88561,27.2727,24748.1,
54.063,6.85524,0.0366211,6.88574,27.2727,13329.5,
54.0631,6.85048,0.0335693,6.88575,27.2727,761.893,
54.0631,6.84667,0.0335693,6.88562,27.2727,-12539.7,
54.0631,6.84381,0.0305176,6.88536,27.2727,-26102.5,
54.0632,6.84191,0.0335693,6.88497,27.2727,-39493.2,
54.0632,6.84096,0.0366211,6.88445,27.2727,-52315.9,
54.0632,6.84096,0.0396729,6.8838,27.2727,-64210.4,
54.0633,6.84286,0.0213623,6.88306,27.2727,-74760.8,
54.0633,6.84572,0.0274658,6.88222,27.2727,-83501.7,
54.0633,6.85048,0.0244141,6.88132,27.2727,-90013.9,
54.0634,6.85524,0.0396729,6.88038,27.2727,-94012.4,
54.0634,6.86191,0.0366211,6.87943,27.2727,-95336,
54.0634,6.86953,0.0396729,6.87849,27.2727,-93757.1,
54.0635,6.87715,0.0305176,6.8776,27.2727,-89168.6,
54.0635,6.88477,0.0305176,6.87678,27.2727,-81753.7,
54.0635,6.89144,0.0244141,6.87606,27.2727,-71870.9,
54.0636,6.89811,0.0274658,6.87546,27.2727,-59947.3,
54.0636,6.90478,0.0274658,6.875,27.2727,-46291.5,
54.0636,6.90954,0.0305176,6.87469,27.2727,-31282.3,
54.0637,6.9143,0.0366211,6.87453,27.2727,-15451.5,
54.0637,6.91811,0.0274658,6.87454,27.2727,801.184,
54.0637,6.92002,0.0305176,6.87471,27.2727,17018.6,
54.0638,6.92192,0.0274658,6.87504,27.2727,32692.5,
54.0638,6.92192,0.0396729,6.87551,27.2727,47449.9,
54.0638,6.92097,0.0274658,6.87612,27.2727,60863.1,
54.0639,6.91907,0.0274658,6.87685,27.2727,72545.8,
54.0639,6.91621,0.0244141,6.87767,27.2727,82240.9,
54.0639,6.9124,0.0305176,6.87856,27.2727,89721.1,
54.064,6.90764,0.0213623,6.87951,27.2727,94786.3,
54.064,6.90287,0.0396729,6.88049,27.2727,97352.8,
54.064,6.89811,0.0366211,6.88146,27.2727,97533.5,
54.0641,6.89239,0.0335693,6.88242,27.2727,95440.6,
54.0641,6.88763,0.0244141,6.88333,27.2727,91185.3,
54.0641,6.88287,0.0274658,6.88418,27.2727,85057.5,
54.0642,6.87811,0.0305176,6.88495,27.2727,77329.7,
54.0642,6.8743,0.0335693,6.88563,27.2727,68257.1,
54.0642,6.87144,0.0274658,6.88622,27.2727,58258.3,
54.0643,6.86858,0.0366211,6.88669,27.2727,47719.7,
54.0643,6.86668,0.0366211,6.88706,27.2727,36907.2,
54.0643,6.86572,0.0305176,6.88732,27.2727,26154.7,
54.0644,6.86477,0.0305176,6.88748,27.2727,15767.9,
54.0644,6.86572,0.0274658,6.88754,27.2727,6024.69,
54.0644,6.86763,0.0427246,6.88752,27.2727,-2642.75,
54.0645,6.87049,0.0305176,6.88742,27.2727,-9843.27,
54.0645,6.87334,0.0396729,6.88726,27.2727,-15404.4,
54.0645,6.87811,0.0274658,6.88707,27.2727,-19174.7,
54.0646,6.88287,0.0335693,6.88686,27.2727,-20932.1,
54.0646,6.88858,0.0244141,6.88666,27.2727,-20571.2,
54.0646,6.8943,0.0366211,6.88648,27.2727,-18093.6,
54.0647,6.90097,0.0305176,6.88634,27.2727,-13508.6,
54.0647,6.90764,0.0335693,6.88627,27.2727,-6832.89,
54.0647,6.91335,0.0274658,6.88629,27.2727,1730.64,
54.0648,6.91907,0.0274658,6.88641,27.2727,11809.1,
54.0648,6.92478,0.0274658,6.88664,27.2727,23145.6,
54.0648,6.92859,0.0244141,6.88699,27.2727,35410.3,
54.0649,6.9305,0.0305176,6.88747,27.2727,47938,
54.0649,6.93145,0.0305176,6.88807,27.2727,60029.2,
